"regiao";"estado";"data";"novos.casos";"casos.acumulados";"obitos.novos";"obitos.acumulados"
"Norte";"RO";"03/05/2020";52;705;1;24
"Norte";"RO";"04/05/2020";51;756;1;25
"Norte";"RO";"05/05/2020";105;861;4;29
"Norte";"RO";"06/05/2020";82;943;4;33
"Norte";"RO";"07/05/2020";155;1098;4;37
"Norte";"RO";"08/05/2020";124;1222;2;39
"Norte";"RO";"09/05/2020";41;1263;2;41
"Norte";"RO";"10/05/2020";39;1302;2;43
"Norte";"RO";"11/05/2020";94;1396;4;47
"Norte";"RO";"12/05/2020";64;1460;3;50
"Norte";"RO";"13/05/2020";152;1612;0;50
"Norte";"RO";"14/05/2020";74;1686;6;56
"Norte";"RO";"15/05/2020";103;1789;6;62
"Norte";"RO";"16/05/2020";130;1919;7;69
"Norte";"RO";"17/05/2020";44;1963;5;74
"Norte";"RO";"18/05/2020";80;2043;3;77
"Norte";"RO";"19/05/2020";214;2257;10;87
"Norte";"RO";"20/05/2020";242;2499;3;90
"Norte";"RO";"21/05/2020";160;2659;11;101
"Norte";"RO";"22/05/2020";115;2774;5;106
"Norte";"RO";"23/05/2020";335;3109;9;115
"Norte";"RO";"24/05/2020";92;3201;6;121
"Norte";"RO";"25/05/2020";67;3268;0;121
"Norte";"RO";"26/05/2020";225;3493;12;133
"Norte";"RO";"27/05/2020";369;3862;4;137
"Norte";"RO";"28/05/2020";390;4252;5;142
"Norte";"RO";"29/05/2020";250;4502;3;145
"Norte";"RO";"30/05/2020";241;4743;6;151
"Norte";"RO";"31/05/2020";199;4942;5;156
"Norte";"RO";"01/06/2020";230;5172;3;159
"Norte";"RO";"02/06/2020";305;5477;13;172
"Norte";"RO";"03/06/2020";236;5713;8;180
"Norte";"RO";"04/06/2020";746;6459;14;194
"Norte";"AC";"25/02/2020";0;0;0;0
"Norte";"AC";"26/02/2020";0;0;0;0
"Norte";"AC";"27/02/2020";0;0;0;0
"Norte";"AC";"28/02/2020";0;0;0;0
"Norte";"AC";"29/02/2020";0;0;0;0
"Norte";"AC";"01/03/2020";0;0;0;0
"Norte";"AC";"02/03/2020";0;0;0;0
"Norte";"AC";"03/03/2020";0;0;0;0
"Norte";"AC";"04/03/2020";0;0;0;0
"Norte";"AC";"05/03/2020";0;0;0;0
"Norte";"AC";"06/03/2020";0;0;0;0
"Norte";"AC";"07/03/2020";0;0;0;0
"Norte";"AC";"08/03/2020";0;0;0;0
"Norte";"AC";"09/03/2020";0;0;0;0
"Norte";"AC";"10/03/2020";0;0;0;0
"Norte";"AC";"11/03/2020";0;0;0;0
"Norte";"AC";"12/03/2020";0;0;0;0
"Norte";"AC";"13/03/2020";0;0;0;0
"Norte";"AC";"14/03/2020";0;0;0;0
"Norte";"AC";"15/03/2020";0;0;0;0
"Norte";"AC";"16/03/2020";0;0;0;0
"Norte";"AC";"17/03/2020";0;0;0;0
"Norte";"AC";"18/03/2020";0;0;0;0
"Norte";"AC";"19/03/2020";3;3;0;0
"Norte";"AC";"20/03/2020";4;7;0;0
"Norte";"AC";"21/03/2020";2;9;0;0
"Norte";"AC";"22/03/2020";2;11;0;0
"Norte";"AC";"23/03/2020";0;11;0;0
"Norte";"AC";"24/03/2020";6;17;0;0
"Norte";"AC";"25/03/2020";6;23;0;0
"Norte";"AC";"26/03/2020";1;24;0;0
"Norte";"AC";"27/03/2020";1;25;0;0
"Norte";"AC";"28/03/2020";0;25;0;0
"Norte";"AC";"29/03/2020";9;34;0;0
"Norte";"AC";"30/03/2020";8;42;0;0
"Norte";"AC";"31/03/2020";0;42;0;0
"Norte";"AC";"01/04/2020";1;43;0;0
"Norte";"AC";"02/04/2020";0;43;0;0
"Norte";"AC";"03/04/2020";3;46;0;0
"Norte";"AC";"04/04/2020";0;46;0;0
"Norte";"AC";"05/04/2020";2;48;0;0
"Norte";"AC";"06/04/2020";2;50;0;0
"Norte";"AC";"07/04/2020";0;50;1;1
"Norte";"AC";"08/04/2020";4;54;1;2
"Norte";"AC";"09/04/2020";8;62;0;2
"Norte";"AC";"10/04/2020";8;70;0;2
"Norte";"AC";"11/04/2020";2;72;0;2
"Norte";"AC";"12/04/2020";5;77;0;2
"Norte";"AC";"13/04/2020";13;90;1;3
"Norte";"AC";"14/04/2020";9;99;0;3
"Norte";"AC";"15/04/2020";2;101;0;3
"Norte";"AC";"16/04/2020";9;110;2;5
"Norte";"AC";"17/04/2020";25;135;0;5
"Norte";"AC";"18/04/2020";7;142;0;5
"Norte";"AC";"19/04/2020";21;163;1;6
"Norte";"AC";"20/04/2020";13;176;2;8
"Norte";"AC";"21/04/2020";19;195;0;8
"Norte";"AC";"22/04/2020";19;214;0;8
"Norte";"AC";"23/04/2020";13;227;2;10
"Norte";"AC";"24/04/2020";7;234;1;11
"Norte";"AC";"25/04/2020";24;258;0;11
"Norte";"AC";"26/04/2020";21;279;0;11
"Norte";"AC";"27/04/2020";0;279;3;14
"Norte";"AC";"28/04/2020";32;311;2;16
"Norte";"AC";"29/04/2020";43;354;1;17
"Norte";"AC";"30/04/2020";50;404;2;19
"Norte";"AC";"01/05/2020";82;486;0;19
"Norte";"AC";"02/05/2020";67;553;2;21
"Norte";"AC";"03/05/2020";104;657;3;24
"Norte";"AC";"04/05/2020";76;733;4;28
"Norte";"AC";"05/05/2020";84;817;1;29
"Norte";"AC";"06/05/2020";126;943;4;33
"Norte";"AC";"07/05/2020";71;1014;3;36
"Norte";"AC";"08/05/2020";163;1177;2;38
"Norte";"AC";"09/05/2020";158;1335;1;39
"Norte";"AC";"10/05/2020";112;1447;2;41
"Norte";"AC";"11/05/2020";13;1460;4;45
"Norte";"AC";"12/05/2020";130;1590;6;51
"Norte";"AC";"13/05/2020";104;1694;1;52
"Norte";"AC";"14/05/2020";46;1740;3;55
"Norte";"AC";"15/05/2020";45;1785;2;57
"Norte";"AC";"16/05/2020";82;1867;2;59
"Norte";"AC";"17/05/2020";130;1997;1;60
"Norte";"AC";"18/05/2020";237;2234;7;67
"Norte";"AC";"19/05/2020";248;2482;5;72
"Norte";"AC";"20/05/2020";335;2817;4;76
"Norte";"AC";"21/05/2020";286;3103;2;78
"Norte";"AC";"22/05/2020";240;3343;2;80
"Norte";"AC";"23/05/2020";524;3867;7;87
"Norte";"AC";"24/05/2020";293;4160;5;92
"Norte";"AC";"25/05/2020";341;4501;5;97
"Norte";"AC";"26/05/2020";280;4781;8;105
"Norte";"AC";"27/05/2020";470;5251;8;113
"Norte";"AC";"28/05/2020";349;5600;9;122
"Norte";"AC";"29/05/2020";241;5841;13;135
"Norte";"AC";"30/05/2020";231;6072;7;142
"Norte";"AC";"31/05/2020";147;6219;6;148
"Norte";"AC";"01/06/2020";107;6326;13;161
"Norte";"AC";"02/06/2020";139;6465;4;165
"Norte";"AC";"03/06/2020";214;6679;6;171
"Norte";"AC";"04/06/2020";342;7021;10;181
"Norte";"AM";"25/02/2020";0;0;0;0
"Norte";"AM";"26/02/2020";0;0;0;0
"Norte";"AM";"27/02/2020";0;0;0;0
"Norte";"AM";"28/02/2020";0;0;0;0
"Norte";"AM";"29/02/2020";0;0;0;0
"Norte";"AM";"01/03/2020";0;0;0;0
"Norte";"AM";"02/03/2020";0;0;0;0
"Norte";"AM";"03/03/2020";0;0;0;0
"Norte";"AM";"04/03/2020";0;0;0;0
"Norte";"AM";"05/03/2020";0;0;0;0
"Norte";"AM";"06/03/2020";0;0;0;0
"Norte";"AM";"07/03/2020";0;0;0;0
"Norte";"AM";"08/03/2020";0;0;0;0
"Norte";"AM";"09/03/2020";0;0;0;0
"Norte";"AM";"10/03/2020";0;0;0;0
"Norte";"AM";"11/03/2020";0;0;0;0
"Norte";"AM";"12/03/2020";0;0;0;0
"Norte";"AM";"13/03/2020";0;0;0;0
"Norte";"AM";"14/03/2020";0;0;0;0
"Norte";"AM";"15/03/2020";1;1;0;0
"Norte";"AM";"16/03/2020";0;1;0;0
"Norte";"AM";"17/03/2020";0;1;0;0
"Norte";"AM";"18/03/2020";0;1;0;0
"Norte";"AM";"19/03/2020";2;3;0;0
"Norte";"AM";"20/03/2020";0;3;0;0
"Norte";"AM";"21/03/2020";8;11;0;0
"Norte";"AM";"22/03/2020";15;26;0;0
"Norte";"AM";"23/03/2020";6;32;0;0
"Norte";"AM";"24/03/2020";15;47;0;0
"Norte";"AM";"25/03/2020";7;54;1;1
"Norte";"AM";"26/03/2020";13;67;0;1
"Norte";"AM";"27/03/2020";14;81;0;1
"Norte";"AM";"28/03/2020";30;111;0;1
"Norte";"AM";"29/03/2020";29;140;0;1
"Norte";"AM";"30/03/2020";11;151;0;1
"Norte";"AM";"31/03/2020";24;175;2;3
"Norte";"AM";"01/04/2020";25;200;0;3
"Norte";"AM";"02/04/2020";29;229;0;3
"Norte";"AM";"03/04/2020";31;260;4;7
"Norte";"AM";"04/04/2020";51;311;5;12
"Norte";"AM";"05/04/2020";106;417;2;14
"Norte";"AM";"06/04/2020";115;532;5;19
"Norte";"AM";"07/04/2020";104;636;4;23
"Norte";"AM";"08/04/2020";168;804;7;30
"Norte";"AM";"09/04/2020";95;899;10;40
"Norte";"AM";"10/04/2020";82;981;10;50
"Norte";"AM";"11/04/2020";69;1050;3;53
"Norte";"AM";"12/04/2020";156;1206;9;62
"Norte";"AM";"13/04/2020";69;1275;9;71
"Norte";"AM";"14/04/2020";209;1484;19;90
"Norte";"AM";"15/04/2020";70;1554;16;106
"Norte";"AM";"16/04/2020";165;1719;18;124
"Norte";"AM";"17/04/2020";90;1809;21;145
"Norte";"AM";"18/04/2020";88;1897;16;161
"Norte";"AM";"19/04/2020";147;2044;21;182
"Norte";"AM";"20/04/2020";116;2160;3;185
"Norte";"AM";"21/04/2020";110;2270;8;193
"Norte";"AM";"22/04/2020";209;2479;14;207
"Norte";"AM";"23/04/2020";409;2888;27;234
"Norte";"AM";"24/04/2020";306;3194;21;255
"Norte";"AM";"25/04/2020";441;3635;32;287
"Norte";"AM";"26/04/2020";198;3833;17;304
"Norte";"AM";"27/04/2020";95;3928;16;320
"Norte";"AM";"28/04/2020";409;4337;31;351
"Norte";"AM";"29/04/2020";464;4801;29;380
"Norte";"AM";"30/04/2020";453;5254;45;425
"Norte";"AM";"01/05/2020";469;5723;51;476
"Norte";"AM";"02/05/2020";339;6062;25;501
"Norte";"AM";"03/05/2020";621;6683;47;548
"Norte";"AM";"04/05/2020";559;7242;36;584
"Norte";"AM";"05/05/2020";867;8109;65;649
"Norte";"AM";"06/05/2020";1134;9243;102;751
"Norte";"AM";"07/05/2020";856;10099;55;806
"Norte";"AM";"08/05/2020";628;10727;68;874
"Norte";"AM";"09/05/2020";1198;11925;88;962
"Norte";"AM";"10/05/2020";674;12599;42;1004
"Norte";"AM";"11/05/2020";320;12919;31;1035
"Norte";"AM";"12/05/2020";1249;14168;63;1098
"Norte";"AM";"13/05/2020";1648;15816;62;1160
"Norte";"AM";"14/05/2020";1365;17181;75;1235
"Norte";"AM";"15/05/2020";1211;18392;96;1331
"Norte";"AM";"16/05/2020";1285;19677;44;1375
"Norte";"AM";"17/05/2020";651;20328;38;1413
"Norte";"AM";"18/05/2020";585;20913;20;1433
"Norte";"AM";"19/05/2020";1219;22132;58;1491
"Norte";"AM";"20/05/2020";1572;23704;70;1561
"Norte";"AM";"21/05/2020";1663;25367;59;1620
"Norte";"AM";"22/05/2020";1671;27038;49;1669
"Norte";"AM";"23/05/2020";1764;28802;75;1744
"Norte";"AM";"24/05/2020";1065;29867;14;1758
"Norte";"AM";"25/05/2020";415;30282;23;1781
"Norte";"AM";"26/05/2020";1667;31949;71;1852
"Norte";"AM";"27/05/2020";1559;33508;39;1891
"Norte";"AM";"28/05/2020";2638;36146;73;1964
"Norte";"AM";"29/05/2020";2763;38909;47;2011
"Norte";"AM";"30/05/2020";1651;40560;36;2047
"Norte";"AM";"31/05/2020";818;41378;5;2052
"Norte";"AM";"01/06/2020";396;41774;19;2071
"Norte";"AM";"02/06/2020";1421;43195;31;2102
"Norte";"AM";"03/06/2020";1152;44347;36;2138
"Norte";"AM";"04/06/2020";2126;46473;45;2183
"Norte";"RR";"25/02/2020";0;0;0;0
"Norte";"RR";"26/02/2020";0;0;0;0
"Norte";"RR";"27/02/2020";0;0;0;0
"Norte";"RR";"28/02/2020";0;0;0;0
"Norte";"RR";"29/02/2020";0;0;0;0
"Norte";"RR";"01/03/2020";0;0;0;0
"Norte";"RR";"02/03/2020";0;0;0;0
"Norte";"RR";"03/03/2020";0;0;0;0
"Norte";"RR";"04/03/2020";0;0;0;0
"Norte";"RR";"05/03/2020";0;0;0;0
"Norte";"RR";"06/03/2020";0;0;0;0
"Norte";"RR";"07/03/2020";0;0;0;0
"Norte";"RR";"08/03/2020";0;0;0;0
"Norte";"RR";"09/03/2020";0;0;0;0
"Norte";"RR";"10/03/2020";0;0;0;0
"Norte";"RR";"11/03/2020";0;0;0;0
"Norte";"RR";"12/03/2020";0;0;0;0
"Norte";"RR";"13/03/2020";0;0;0;0
"Norte";"RR";"14/03/2020";0;0;0;0
"Norte";"RR";"15/03/2020";0;0;0;0
"Norte";"RR";"16/03/2020";0;0;0;0
"Norte";"RR";"17/03/2020";0;0;0;0
"Norte";"RR";"18/03/2020";0;0;0;0
"Norte";"RR";"19/03/2020";0;0;0;0
"Norte";"RR";"20/03/2020";0;0;0;0
"Norte";"RR";"21/03/2020";0;0;0;0
"Norte";"RR";"22/03/2020";2;2;0;0
"Norte";"RR";"23/03/2020";0;2;0;0
"Norte";"RR";"24/03/2020";0;2;0;0
"Norte";"RR";"25/03/2020";6;8;0;0
"Norte";"RR";"26/03/2020";0;8;0;0
"Norte";"RR";"27/03/2020";2;10;0;0
"Norte";"RR";"28/03/2020";2;12;0;0
"Norte";"RR";"29/03/2020";4;16;0;0
"Norte";"RR";"30/03/2020";0;16;0;0
"Norte";"RR";"31/03/2020";0;16;0;0
"Norte";"RR";"01/04/2020";6;22;0;0
"Norte";"RR";"02/04/2020";4;26;0;0
"Norte";"RR";"03/04/2020";4;30;0;0
"Norte";"RR";"04/04/2020";7;37;1;1
"Norte";"RR";"05/04/2020";5;42;0;1
"Norte";"RR";"06/04/2020";0;42;0;1
"Norte";"RR";"07/04/2020";0;42;0;1
"Norte";"RR";"08/04/2020";7;49;0;1
"Norte";"RR";"09/04/2020";3;52;0;1
"Norte";"RR";"10/04/2020";11;63;2;3
"Norte";"RR";"11/04/2020";12;75;0;3
"Norte";"RR";"12/04/2020";4;79;0;3
"Norte";"RR";"13/04/2020";4;83;0;3
"Norte";"RR";"14/04/2020";30;113;0;3
"Norte";"RR";"15/04/2020";1;114;0;3
"Norte";"RR";"16/04/2020";28;142;0;3
"Norte";"RR";"17/04/2020";22;164;0;3
"Norte";"RR";"18/04/2020";37;201;0;3
"Norte";"RR";"19/04/2020";21;222;0;3
"Norte";"RR";"20/04/2020";22;244;0;3
"Norte";"RR";"21/04/2020";3;247;0;3
"Norte";"RR";"22/04/2020";33;280;0;3
"Norte";"RR";"23/04/2020";17;297;0;3
"Norte";"RR";"24/04/2020";7;304;0;3
"Norte";"RR";"25/04/2020";41;345;0;3
"Norte";"RR";"26/04/2020";56;401;1;4
"Norte";"RR";"27/04/2020";6;407;0;4
"Norte";"RR";"28/04/2020";18;425;2;6
"Norte";"RR";"29/04/2020";27;452;0;6
"Norte";"RR";"30/04/2020";67;519;1;7
"Norte";"RR";"01/05/2020";83;602;1;8
"Norte";"RR";"02/05/2020";66;668;1;9
"Norte";"RR";"03/05/2020";72;740;2;11
"Norte";"RR";"04/05/2020";66;806;0;11
"Norte";"RR";"05/05/2020";63;869;0;11
"Norte";"RR";"06/05/2020";63;932;2;13
"Norte";"RR";"07/05/2020";88;1020;1;14
"Norte";"RR";"08/05/2020";104;1124;2;16
"Norte";"RR";"09/05/2020";78;1202;2;18
"Norte";"RR";"10/05/2020";88;1290;3;21
"Norte";"RR";"11/05/2020";5;1295;3;24
"Norte";"RR";"12/05/2020";33;1328;3;27
"Norte";"RR";"13/05/2020";83;1411;2;29
"Norte";"RR";"14/05/2020";89;1500;8;37
"Norte";"RR";"15/05/2020";89;1589;3;40
"Norte";"RR";"16/05/2020";117;1706;9;49
"Norte";"RR";"17/05/2020";85;1791;2;51
"Norte";"RR";"18/05/2020";85;1876;9;60
"Norte";"RR";"19/05/2020";109;1985;1;61
"Norte";"RR";"20/05/2020";82;2067;3;64
"Norte";"RR";"21/05/2020";79;2146;8;72
"Norte";"RR";"22/05/2020";160;2306;9;81
"Norte";"RR";"23/05/2020";68;2374;0;81
"Norte";"RR";"24/05/2020";65;2439;3;84
"Norte";"RR";"25/05/2020";75;2514;2;86
"Norte";"RR";"26/05/2020";69;2583;16;102
"Norte";"RR";"27/05/2020";99;2682;0;102
"Norte";"RR";"28/05/2020";277;2959;0;102
"Norte";"RR";"29/05/2020";139;3098;6;108
"Norte";"RR";"30/05/2020";201;3299;2;110
"Norte";"RR";"31/05/2020";175;3474;6;116
"Norte";"RR";"01/06/2020";218;3692;0;116
"Norte";"RR";"02/06/2020";158;3850;4;120
"Norte";"RR";"03/06/2020";293;4143;4;124
"Norte";"RR";"04/06/2020";340;4483;3;127
"Norte";"PA";"25/02/2020";0;0;0;0
"Norte";"PA";"26/02/2020";0;0;0;0
"Norte";"PA";"27/02/2020";0;0;0;0
"Norte";"PA";"28/02/2020";0;0;0;0
"Norte";"PA";"29/02/2020";0;0;0;0
"Norte";"PA";"01/03/2020";0;0;0;0
"Norte";"PA";"02/03/2020";0;0;0;0
"Norte";"PA";"03/03/2020";0;0;0;0
"Norte";"PA";"04/03/2020";0;0;0;0
"Norte";"PA";"05/03/2020";0;0;0;0
"Norte";"PA";"06/03/2020";0;0;0;0
"Norte";"PA";"07/03/2020";0;0;0;0
"Norte";"PA";"08/03/2020";0;0;0;0
"Norte";"PA";"09/03/2020";0;0;0;0
"Norte";"PA";"10/03/2020";0;0;0;0
"Norte";"PA";"11/03/2020";0;0;0;0
"Norte";"PA";"12/03/2020";0;0;0;0
"Norte";"PA";"13/03/2020";0;0;0;0
"Norte";"PA";"14/03/2020";0;0;0;0
"Norte";"PA";"15/03/2020";0;0;0;0
"Norte";"PA";"16/03/2020";0;0;0;0
"Norte";"PA";"17/03/2020";0;0;0;0
"Norte";"PA";"18/03/2020";0;0;0;0
"Norte";"PA";"19/03/2020";1;1;0;0
"Norte";"PA";"20/03/2020";1;2;0;0
"Norte";"PA";"21/03/2020";0;2;0;0
"Norte";"PA";"22/03/2020";2;4;0;0
"Norte";"PA";"23/03/2020";1;5;0;0
"Norte";"PA";"24/03/2020";0;5;0;0
"Norte";"PA";"25/03/2020";2;7;0;0
"Norte";"PA";"26/03/2020";6;13;0;0
"Norte";"PA";"27/03/2020";0;13;0;0
"Norte";"PA";"28/03/2020";4;17;0;0
"Norte";"PA";"29/03/2020";1;18;0;0
"Norte";"PA";"30/03/2020";3;21;0;0
"Norte";"PA";"31/03/2020";11;32;0;0
"Norte";"PA";"01/04/2020";8;40;1;1
"Norte";"PA";"02/04/2020";6;46;0;1
"Norte";"PA";"03/04/2020";4;50;0;1
"Norte";"PA";"04/04/2020";30;80;0;1
"Norte";"PA";"05/04/2020";6;86;0;1
"Norte";"PA";"06/04/2020";16;102;2;3
"Norte";"PA";"07/04/2020";36;138;2;5
"Norte";"PA";"08/04/2020";29;167;1;6
"Norte";"PA";"09/04/2020";1;168;1;7
"Norte";"PA";"10/04/2020";2;170;2;9
"Norte";"PA";"11/04/2020";47;217;1;10
"Norte";"PA";"12/04/2020";29;246;3;13
"Norte";"PA";"13/04/2020";24;270;2;15
"Norte";"PA";"14/04/2020";53;323;4;19
"Norte";"PA";"15/04/2020";61;384;2;21
"Norte";"PA";"16/04/2020";54;438;3;24
"Norte";"PA";"17/04/2020";119;557;2;26
"Norte";"PA";"18/04/2020";83;640;7;33
"Norte";"PA";"19/04/2020";45;685;1;34
"Norte";"PA";"20/04/2020";217;902;1;35
"Norte";"PA";"21/04/2020";124;1026;3;38
"Norte";"PA";"22/04/2020";169;1195;5;43
"Norte";"PA";"23/04/2020";72;1267;10;53
"Norte";"PA";"24/04/2020";179;1446;22;75
"Norte";"PA";"25/04/2020";133;1579;11;86
"Norte";"PA";"26/04/2020";288;1867;14;100
"Norte";"PA";"27/04/2020";261;2128;14;114
"Norte";"PA";"28/04/2020";134;2262;15;129
"Norte";"PA";"29/04/2020";160;2422;8;137
"Norte";"PA";"30/04/2020";454;2876;71;208
"Norte";"PA";"01/05/2020";300;3176;27;235
"Norte";"PA";"02/05/2020";284;3460;38;273
"Norte";"PA";"03/05/2020";403;3863;36;309
"Norte";"PA";"04/05/2020";262;4125;21;330
"Norte";"PA";"05/05/2020";347;4472;39;369
"Norte";"PA";"06/05/2020";545;5017;23;392
"Norte";"PA";"07/05/2020";507;5524;18;410
"Norte";"PA";"08/05/2020";617;6141;105;515
"Norte";"PA";"09/05/2020";634;6775;63;578
"Norte";"PA";"10/05/2020";481;7256;74;652
"Norte";"PA";"11/05/2020";307;7563;56;708
"Norte";"PA";"12/05/2020";1053;8616;156;864
"Norte";"PA";"13/05/2020";1002;9618;82;946
"Norte";"PA";"14/05/2020";1249;10867;117;1063
"Norte";"PA";"15/05/2020";1242;12109;82;1145
"Norte";"PA";"16/05/2020";1075;13184;54;1199
"Norte";"PA";"17/05/2020";680;13864;40;1239
"Norte";"PA";"18/05/2020";870;14734;90;1329
"Norte";"PA";"19/05/2020";1561;16295;190;1519
"Norte";"PA";"20/05/2020";1840;18135;114;1633
"Norte";"PA";"21/05/2020";1621;19756;219;1852
"Norte";"PA";"22/05/2020";1713;21469;85;1937
"Norte";"PA";"23/05/2020";1228;22697;64;2001
"Norte";"PA";"24/05/2020";1428;24125;147;2148
"Norte";"PA";"25/05/2020";1952;26077;224;2372
"Norte";"PA";"26/05/2020";2523;28600;97;2469
"Norte";"PA";"27/05/2020";2433;31033;76;2545
"Norte";"PA";"28/05/2020";2666;33699;159;2704
"Norte";"PA";"29/05/2020";2787;36486;123;2827
"Norte";"PA";"30/05/2020";810;37296;73;2900
"Norte";"PA";"31/05/2020";665;37961;23;2923
"Norte";"PA";"01/06/2020";85;38046;2;2925
"Norte";"PA";"02/06/2020";3161;41207;115;3040
"Norte";"PA";"03/06/2020";3567;44774;153;3193
"Norte";"PA";"04/06/2020";3275;48049;223;3416
"Norte";"AP";"25/02/2020";0;0;0;0
"Norte";"AP";"26/02/2020";0;0;0;0
"Norte";"AP";"27/02/2020";0;0;0;0
"Norte";"AP";"28/02/2020";0;0;0;0
"Norte";"AP";"29/02/2020";0;0;0;0
"Norte";"AP";"01/03/2020";0;0;0;0
"Norte";"AP";"02/03/2020";0;0;0;0
"Norte";"AP";"03/03/2020";0;0;0;0
"Norte";"AP";"04/03/2020";0;0;0;0
"Norte";"AP";"05/03/2020";0;0;0;0
"Norte";"AP";"06/03/2020";0;0;0;0
"Norte";"AP";"07/03/2020";0;0;0;0
"Norte";"AP";"08/03/2020";0;0;0;0
"Norte";"AP";"09/03/2020";0;0;0;0
"Norte";"AP";"10/03/2020";0;0;0;0
"Norte";"AP";"11/03/2020";0;0;0;0
"Norte";"AP";"12/03/2020";0;0;0;0
"Norte";"AP";"13/03/2020";0;0;0;0
"Norte";"AP";"14/03/2020";0;0;0;0
"Norte";"AP";"15/03/2020";0;0;0;0
"Norte";"AP";"16/03/2020";0;0;0;0
"Norte";"AP";"17/03/2020";0;0;0;0
"Norte";"AP";"18/03/2020";0;0;0;0
"Norte";"AP";"19/03/2020";0;0;0;0
"Norte";"AP";"20/03/2020";1;1;0;0
"Norte";"AP";"21/03/2020";0;1;0;0
"Norte";"AP";"22/03/2020";0;1;0;0
"Norte";"AP";"23/03/2020";0;1;0;0
"Norte";"AP";"24/03/2020";0;1;0;0
"Norte";"AP";"25/03/2020";0;1;0;0
"Norte";"AP";"26/03/2020";1;2;0;0
"Norte";"AP";"27/03/2020";0;2;0;0
"Norte";"AP";"28/03/2020";2;4;0;0
"Norte";"AP";"29/03/2020";0;4;0;0
"Norte";"AP";"30/03/2020";4;8;0;0
"Norte";"AP";"31/03/2020";2;10;0;0
"Norte";"AP";"01/04/2020";1;11;0;0
"Norte";"AP";"02/04/2020";0;11;0;0
"Norte";"AP";"03/04/2020";8;19;0;0
"Norte";"AP";"04/04/2020";9;28;1;1
